0,0.158203125
1,0.13671875
2,0.1455078125
3,0.130859375
4,0.1279296875
5,0.12890625
6,0.125
7,0.12109375
8,0.11474609375
9,0.115234375
10,0.119140625
11,0.11767578125
12,0.11767578125
13,0.11865234375
14,0.1162109375
15,0.11865234375
16,0.11865234375
17,0.119140625
18,0.12158203125
19,0.12255859375
20,0.123046875
21,0.125
22,0.125
23,0.1279296875
24,0.12890625
25,0.130859375
26,0.1328125
27,0.134765625
28,0.138671875
29,0.140625
30,0.1435546875
31,0.146484375
32,0.1494140625
33,0.15234375
34,0.15625
35,0.16015625
36,0.1640625
37,0.1669921875
38,0.171875
39,0.1767578125
40,0.181640625
41,0.1865234375
42,0.1923828125
43,0.197265625
44,0.2021484375
45,0.208984375
46,0.2138671875
47,0.220703125
48,0.2265625
49,0.2314453125
